"","cowcode","COUNTRY","YEAR","ACTIVITIES_RESTRICT","VISIT_RESTRICT","TRAVEL_RESTRICT","FUNDING_INT","FUNDING_DOM","VISAS_DIFFICULTIES","VISAS_DENIED","HARASS_AMOUNT","ARREST","SURVEIL","KILLING","COOPT"
"2347",360,"Romania",1996,0,0,0,0,0,0,0,0,0,0,0,0
"2348",360,"Romania",1997,0,0,0,0,0,0,0,0,0,0,0,0
"2349",360,"Romania",1998,0,0,0,0,0,0,0,0,0,0,0,0
"2350",360,"Romania",1999,0,0,0,0,0,0,0,0,0,0,0,0
"2351",360,"Romania",2000,1,1,0,0,0,0,0,0,0,0,0,0
"2352",360,"Romania",2001,1,1,0,0,0,0,0,0,0,0,0,0
"2353",360,"Romania",2002,1,1,0,0,0,0,0,0,0,0,0,0
"2354",360,"Romania",2003,0,0,0,0,0,0,0,0,0,0,0,0
"2355",360,"Romania",2004,0,0,0,0,0,0,0,0,0,0,0,0
"2356",360,"Romania",2005,1,0,0,0,0,0,0,1,0,0,0,0
"2357",360,"Romania",2006,1,0,0,0,0,0,0,1,0,0,0,0
"2358",360,"Romania",2007,0,0,0,0,0,0,0,0,0,0,0,0
"2359",360,"Romania",2008,1,0,0,0,0,0,0,1,0,0,0,0
"2360",360,"Romania",2009,1,0,0,0,0,0,0,1,0,0,0,0
"2361",360,"Romania",2010,0,0,0,0,0,0,0,0,0,0,0,0
"2362",360,"Romania",2011,0,0,0,0,0,0,0,0,0,0,0,0
"2363",360,"Romania",2012,0,0,0,0,0,0,0,0,0,0,0,1
"2364",360,"Romania",2013,0,0,0,0,0,0,0,0,0,0,0,0
"2365",360,"Romania",2014,0,0,0,0,0,0,0,0,0,0,0,0
"2366",365,"Russia",1994,1,1,0,0,0,0,0,0,0,0,0,0
"2367",365,"Russia",1995,1,0,1,0,0,0,0,0,1,0,0,0
"2368",365,"Russia",1996,1,0,1,0,0,0,0,0,2,0,0,0
"2369",365,"Russia",1997,1,0,0,0,0,1,0,1,2,0,0,0
"2370",365,"Russia",1998,1,0,0,0,0,1,0,1,2,0,0,0
"2371",365,"Russia",1999,1,0,0,0,0,0,0,1,1,0,0,0
"2372",365,"Russia",2000,1,0,1,0,0,0,0,2,1,1,0,0
"2373",365,"Russia",2001,1,0,1,0,0,0,0,2,1,0,0,0
"2374",365,"Russia",2002,1,1,1,0,0,1,0,2,1,0,0,0
"2375",365,"Russia",2003,1,1,1,0,0,1,1,2,1,0,0,0
"2376",365,"Russia",2004,1,1,1,0,0,1,1,2,1,0,0,0
"2377",365,"Russia",2005,1,0,0,1,1,1,1,2,1,2,0,0
"2378",365,"Russia",2006,1,0,1,1,1,0,0,2,1,2,0,0
"2379",365,"Russia",2007,1,0,0,1,1,1,0,2,1,2,0,0
"2380",365,"Russia",2008,1,0,1,1,0,1,0,2,1,1,0,1
"2381",365,"Russia",2009,1,0,1,1,1,1,0,2,1,1,1,1
"2382",365,"Russia",2010,1,0,1,1,1,0,0,2,1,1,0,1
"2383",365,"Russia",2011,1,0,0,1,0,0,0,2,0,1,0,0
"2384",365,"Russia",2012,1,0,1,1,0,0,0,2,1,1,0,0
"2385",365,"Russia",2013,1,0,1,1,0,0,0,2,1,1,0,1
"2386",365,"Russia",2014,1,0,0,1,0,0,0,2,0,0,0,1
"2387",517,"Rwanda",1994,1,0,0,0,0,0,0,0,1,0,0,0
"2388",517,"Rwanda",1995,0,0,0,0,0,0,0,0,0,0,0,0
"2389",517,"Rwanda",1996,0,0,0,0,0,0,0,0,0,0,0,0
"2390",517,"Rwanda",1997,0,0,0,0,0,0,0,0,0,0,0,0
"2391",517,"Rwanda",1998,1,0,0,0,0,1,1,0,0,0,0,1
"2392",517,"Rwanda",1999,1,0,0,0,0,0,0,0,0,0,0,1
"2393",517,"Rwanda",2000,1,0,0,0,0,0,0,1,0,0,0,1
"2394",517,"Rwanda",2001,1,0,0,0,0,0,0,2,0,1,0,1
"2395",517,"Rwanda",2002,1,0,1,0,0,0,1,1,1,1,0,1
"2396",517,"Rwanda",2003,1,0,0,1,0,0,0,2,0,0,0,1
"2397",517,"Rwanda",2004,1,0,0,0,0,0,0,2,0,0,0,1
"2398",517,"Rwanda",2005,1,0,0,0,1,0,0,2,2,2,0,1
"2399",517,"Rwanda",2006,1,1,0,1,1,0,0,2,2,2,0,1
"2400",517,"Rwanda",2007,1,0,0,0,1,0,0,1,1,2,0,0
"2401",517,"Rwanda",2008,1,0,0,0,0,1,1,1,0,1,0,1
"2402",517,"Rwanda",2009,1,0,0,0,0,0,0,0,0,1,0,1
"2403",517,"Rwanda",2010,1,0,0,0,0,1,1,0,0,1,0,1
"2404",517,"Rwanda",2011,1,0,1,0,0,1,1,1,1,1,0,1
"2405",517,"Rwanda",2012,1,0,1,0,0,1,1,1,0,1,0,1
"2406",517,"Rwanda",2013,1,0,1,0,1,1,1,1,1,1,0,1
"2407",517,"Rwanda",2014,1,0,0,0,0,1,1,0,0,1,0,1
"2408",670,"Saudi Arabia",1994,0,0,0,0,0,0,0,0,0,0,0,0
"2409",670,"Saudi Arabia",1995,0,0,0,0,0,0,0,0,0,0,0,0
"2410",670,"Saudi Arabia",1996,0,0,0,0,0,0,0,0,0,0,0,0
"2411",670,"Saudi Arabia",1997,1,0,0,0,0,1,1,0,0,0,0,0
"2412",670,"Saudi Arabia",1998,1,0,0,0,0,1,1,0,0,0,0,0
"2413",670,"Saudi Arabia",1999,1,0,0,0,0,1,1,0,0,0,0,0
"2414",670,"Saudi Arabia",2000,1,0,0,0,0,1,1,0,0,0,0,0
"2415",670,"Saudi Arabia",2001,1,0,0,0,0,1,1,0,0,0,0,0
"2416",670,"Saudi Arabia",2002,1,0,0,0,0,0,0,0,0,0,0,0
"2417",670,"Saudi Arabia",2003,1,0,0,0,0,0,0,0,0,0,0,0
"2418",670,"Saudi Arabia",2004,1,0,0,0,0,0,0,0,0,0,0,0
"2419",670,"Saudi Arabia",2005,1,0,0,0,0,0,0,1,0,0,0,0
"2420",670,"Saudi Arabia",2006,1,0,0,0,0,0,0,0,0,0,0,0
"2421",670,"Saudi Arabia",2007,1,0,0,0,0,0,0,0,0,0,0,0
"2422",670,"Saudi Arabia",2008,1,0,0,0,0,0,1,0,0,0,0,0
"2423",670,"Saudi Arabia",2009,1,0,0,0,0,0,1,0,0,0,0,0
"2424",670,"Saudi Arabia",2010,1,1,0,0,0,0,1,0,0,0,0,0
"2425",670,"Saudi Arabia",2011,1,0,1,1,1,1,0,1,1,0,0,0
"2426",670,"Saudi Arabia",2012,1,0,1,1,1,1,0,1,1,0,0,0
"2427",670,"Saudi Arabia",2013,1,0,0,1,1,1,1,2,1,0,0,0
"2428",670,"Saudi Arabia",2014,1,0,0,0,0,1,1,2,1,0,0,0
"2429",433,"Senegal",1994,0,0,0,0,0,0,0,0,0,0,0,0
"2430",433,"Senegal",1995,0,0,0,0,0,0,0,0,0,0,0,0
"2431",433,"Senegal",1996,0,0,0,0,0,0,0,0,0,0,0,0
"2432",433,"Senegal",1997,0,0,0,0,0,0,0,0,0,0,0,0
"2433",433,"Senegal",1998,1,0,0,0,0,1,1,0,0,0,0,0
"2434",433,"Senegal",1999,0,0,0,0,0,0,0,0,0,0,0,0
"2435",433,"Senegal",2000,0,0,0,0,0,0,0,0,0,0,0,0
"2436",433,"Senegal",2001,1,0,0,0,0,0,0,1,0,0,0,0
"2437",433,"Senegal",2002,0,0,0,0,0,0,0,0,0,0,0,0
"2438",433,"Senegal",2003,0,0,0,0,0,0,0,0,0,0,0,0
"2439",433,"Senegal",2004,0,0,0,0,0,0,0,0,0,0,0,0
"2440",433,"Senegal",2005,0,0,0,0,0,0,0,0,0,0,0,0
"2441",433,"Senegal",2006,1,0,0,0,0,0,0,2,0,1,0,0
"2442",433,"Senegal",2007,1,0,0,0,0,0,0,2,0,1,0,0
"2443",433,"Senegal",2008,1,0,0,0,0,0,0,2,0,1,0,0
"2444",433,"Senegal",2009,1,0,0,0,0,0,0,2,0,1,0,0
"2445",433,"Senegal",2010,1,0,0,0,0,0,0,2,0,1,0,0
"2446",433,"Senegal",2011,1,0,0,0,0,0,0,2,0,1,0,0
"2447",433,"Senegal",2012,0,0,0,0,0,0,0,0,0,0,0,0
"2448",433,"Senegal",2013,0,0,0,0,0,0,0,0,0,0,0,0
"2449",433,"Senegal",2014,0,0,0,0,0,0,0,0,0,0,0,0
"2450",345,"Serbia",1994,1,1,0,0,0,1,1,2,0,2,0,0
"2451",345,"Serbia",1995,1,1,1,0,0,1,1,1,0,1,0,0
"2452",345,"Serbia",1996,1,0,0,0,0,0,0,1,0,0,0,0
